time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-10T06:06:16.300Z,-23.6341,-66.7288,210.43,4.5,mb,,51,1.496,0.95,us,us2000j2e3,2019-04-02T20:51:53.040Z,"76km NNW of San Antonio de los Cobres, Argentina",earthquake,7.2,11,0.181,9,reviewed,us,us
2019-01-10T04:54:20.660Z,-29.9483,-176.3448,10,5.2,mb,,57,1.547,0.59,us,us2000j2cz,2019-04-02T20:51:52.040Z,"168km ESE of Raoul Island, New Zealand",earthquake,8.2,1.8,0.061,90,reviewed,us,us
2019-01-10T03:03:16.020Z,-52.7424,20.9087,10,4.9,mb,,74,20.301,0.44,us,us2000j8us,2019-04-02T20:53:30.040Z,"South of Africa",earthquake,13.8,2,0.169,11,reviewed,us,us
2019-01-10T02:52:04.640Z,34.3645,78.2373,34.51,4.6,mb,,86,4.188,0.65,us,us2000j2bz,2019-04-02T20:51:50.040Z,"64km ENE of Leh, India",earthquake,8.2,5.1,0.114,23,reviewed,us,us
2019-01-10T02:13:15.160Z,15.5777,-95.0517,35.5,4.5,mb,,151,1.035,1.11,us,us2000j2bj,2019-04-02T20:51:50.040Z,"67km SSE of Salina Cruz, Mexico",earthquake,6.7,8.8,0.059,83,reviewed,us,us
2019-01-10T02:04:22.540Z,8.4648,-73.3433,128.95,4.6,mb,,78,2.568,0.94,us,us2000j8tk,2019-04-02T20:53:25.040Z,"9km NNE of Gonzalez, Colombia",earthquake,4.9,9.4,0.122,20,reviewed,us,us
2019-01-09T22:38:06.660Z,5.6988,126.569,76.83,4.6,mb,,117,1.68,0.47,us,us2000j292,2019-04-02T20:51:48.040Z,"85km SSE of Pondaguitan, Philippines",earthquake,6.3,8.3,0.089,38,reviewed,us,us
2019-01-09T19:23:07.590Z,-32.6198,80.3063,10,4.7,mb,,146,5.629,0.9,us,us2000j8t4,2019-04-02T20:53:24.040Z,"Broken Ridge",earthquake,9.1,1.9,0.104,28,reviewed,us,us
2019-01-09T18:56:31.060Z,-9.3853,119.9551,72.93,5,mww,,48,2.374,1.37,us,us2000j23z,2019-04-02T20:51:01.040Z,"1km E of Napu, Indonesia",earthquake,7,4.9,0.071,19,reviewed,us,us
2019-01-09T17:35:40.150Z,-4.6314,147.9241,10,4.7,mb,,65,2.63,0.98,us,us2000j22d,2019-04-02T20:51:46.040Z,"218km N of Finschhafen, Papua New Guinea",earthquake,8,1.9,0.123,20,reviewed,us,us
2019-01-09T17:15:44.120Z,-17.9428,-177.8844,484.62,4.6,mb,,80,3.621,0.97,us,us2000j8sz,2019-04-02T20:53:23.040Z,"Fiji region",earthquake,13.9,8.5,0.068,64,reviewed,us,us
2019-01-09T17:01:02.410Z,-4.5484,147.9213,10,4.9,mb,,62,2.549,0.89,us,us2000j1zj,2019-04-02T20:51:45.040Z,"227km N of Finschhafen, Papua New Guinea",earthquake,7.8,1.9,0.085,43,reviewed,us,us
2019-01-09T16:09:58.810Z,-12.91,45.5606,10,4.9,mb,,65,5.842,0.9,us,us2000j1yx,2019-04-02T20:51:45.040Z,"32km ESE of Pamandzi, Mayotte",earthquake,12.2,1.8,0.083,46,reviewed,us,us
2019-01-09T15:44:30.860Z,-20.2937,-177.7632,538.34,4.7,mb,,91,4.7,0.96,us,us2000j1yr,2019-04-02T20:51:44.040Z,"105km ENE of Ndoi Island, Fiji",earthquake,10.9,7.6,0.08,47,reviewed,us,us
2019-01-09T14:25:35.080Z,-30.9707,-177.6369,10,4.6,mb,,161,1.738,0.98,us,us2000j8sq,2019-04-02T20:53:22.040Z,"130km ENE of L'Esperance Rock, New Zealand",earthquake,11,1.9,0.152,13,reviewed,us,us
2019-01-09T09:39:09.090Z,3.9401,95.8773,45.6,5.1,mb,,92,1.666,0.84,us,us2000j1tl,2019-04-02T20:51:38.040Z,"35km SW of Meulaboh, Indonesia",earthquake,7,4.3,0.056,103,reviewed,us,us
2019-01-09T09:32:13.180Z,-17.514,-174.2637,10,4.6,mb,,85,4.31,0.77,us,us2000j1tr,2019-04-02T20:51:38.040Z,"129km NNW of Neiafu, Tonga",earthquake,6.2,1.8,0.105,28,reviewed,us,us
2019-01-09T08:32:30.790Z,18.534,121.2816,56.26,4.6,mb,,124,4.266,0.87,us,us2000j8sp,2019-04-02T20:53:22.040Z,"3km WNW of Santa Cruz, Philippines",earthquake,6.2,9.5,0.108,26,reviewed,us,us
2019-01-09T08:23:06.100Z,-12.7484,45.4582,10,4.9,mb,,57,6.023,1.41,us,us2000j1pz,2019-04-02T20:51:36.040Z,"19km ENE of Pamandzi, Mayotte",earthquake,3,1.9,0.112,25,reviewed,us,us
2019-01-09T07:56:31.970Z,6.1625,126.7504,106.19,4.5,mb,,112,1.471,0.58,us,us2000j1q7,2019-04-02T20:51:37.040Z,"67km ESE of Pondaguitan, Philippines",earthquake,12.1,9,0.124,19,reviewed,us,us
2019-01-09T07:29:35.200Z,-19.5361,-173.3625,10,4.9,mb,,104,3.276,0.68,us,us2000j8sc,2019-04-02T20:53:20.040Z,"107km ENE of Pangai, Tonga",earthquake,10.4,1.9,0.112,25,reviewed,us,us
2019-01-09T06:51:39.559Z,69.1016,-144.6726,14.6,4.5,ml,,,,0.72,ak,ak019ezpqow,2019-04-02T20:51:34.040Z,"114km NNE of Arctic Village, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-01-09T04:33:38.770Z,28.195,140.752,169.54,4.7,mb,,103,1.677,0.95,us,us2000j1m2,2019-04-02T20:51:33.040Z,"189km NW of Chichi-shima, Japan",earthquake,8.6,8,0.066,69,reviewed,us,us
2019-01-09T02:41:08.000Z,-56.4354,-25.5839,10,4.5,mb,,99,6.58,0.76,us,us2000j8sf,2019-04-02T20:53:21.040Z,"103km ENE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,14.6,1.9,0.156,12,reviewed,us,us
2019-01-09T00:18:22.980Z,12.2861,144.0206,10,4.7,mb,,104,1.536,0.6,us,us2000j1kb,2019-04-02T20:51:30.040Z,"129km SSW of Merizo Village, Guam",earthquake,8.4,1.9,0.072,59,reviewed,us,us
2019-01-08T23:38:03.610Z,-31.7415,-178.5333,35,4.5,mb,,116,2.542,1.23,us,us2000j8ci,2019-04-02T20:53:17.040Z,"48km SE of L'Esperance Rock, New Zealand",earthquake,9.9,1.9,0.151,13,reviewed,us,us
2019-01-08T22:33:17.160Z,12.031,143.868,10,4.7,mb,,89,1.83,0.59,us,us2000j1jn,2019-04-02T20:51:29.040Z,"161km SSW of Merizo Village, Guam",earthquake,8.9,1.8,0.104,28,reviewed,us,us
